reference,name,latitude,longitude,grid,locationDesc,attempts,activations,qsos,my_activations,my_hunted_qsos
US-0001,Acadia National Park,44.31,-68.2034,FN54vh,US-ME,563,497,17303,0,0
US-0002,Alagnak Wild River National Park,59.0908,-156.463,BO19sc,US-AK,0,0,0,0,0
US-0003,Aniakchak National Preserve,56.8075,-157.83,BO16ct,US-AK,0,0,0,0,0
US-0004,Arches National Park,38.6166,-109.62,DM58eo,US-UT,156,137,4891,0,1
US-0005,Badlands National Park,43.8555,-102.339,DN83tu,US-SD,210,197,6901,1,0
US-0006,Big Bend National Park,29.1287,-103.232,DL89jd,US-TX,289,239,10907,2,0
US-0007,Biscayne Bay National Park,25.4643,-80.3353,EL95tl,US-FL,183,172,5449,0,0
US-0008,Black Canyon of the Gunnison National Park,38.5762,-107.731,DM68dn,US-CO,82,80,2494,0,0
US-0009,Bryce Canyon National Park,37.5945,-112.159,DM37wo,US-UT,193,167,6384,0,0
US-0010,Canyonlands National Park,38.3301,-109.826,DM58ch,US-UT,121,106,3585,0,0
US-0011,Capitol Reef National Park,38.3712,-111.209,DM48ji,US-UT,87,66,1987,0,0
US-0012,Carlsbad Caverns National Park,32.1754,-104.444,DM72se,US-NM,106,96,2912,0,0
US-0013,Chaco Culture National Historical Park,36.053,-107.956,DM66ab,US-NM,28,25,996,0,0
US-0014,Channel Islands National Park,34.0026,-119.731,DM04da,US-CA,117,80,2606,0,0
US-0015,Chesapeake and Ohio Canal National Historical Park,39.6007,-77.8265,FM19co,"US-DC,US-MD,US-WV",589,578,17811,0,0
US-0016,Colonial National Historical Park,37.2305,-76.5025,FM17rf,US-VA,412,388,15889,0,2
US-0017,Congaree National Park,33.8432,-80.8289,EM93ou,US-SC,183,176,6173,0,0
US-0018,Crater Lake National Park,42.87,-122.144,CN82wu,US-OR,210,193,6318,0,0
US-0019,Cumberland Gap National Historical Park,36.6038,-83.6741,EM86do,"US-KY,US-TN,US-VA",182,180,6949,0,1
US-0020,Cuyahoga Valley National Park,41.2628,-81.5585,EN91fg,US-OH,1149,1103,33910,1,0
US-0021,Death Valley National Park,36.8114,-116.906,DM16nt,"US-CA,US-NV",369,338,14227,0,2
US-0022,Denali National Park,63.7364,-148.896,BP53nr,US-AK,82,62,2127,0,0
US-0023,Dry Tortugas National Park,24.6298,-82.8716,EL84np,US-FL,187,179,28241,0,0
US-0024,Everglades National Park,25.7569,-80.766,EL95os,US-FL,315,303,11557,0,2
US-0025,Fort Morgan National Historic Site,30.2296,-88.0174,EM50xf,US-AL,171,160,5523,0,0
US-0026,Gates of the Arctic National Park,68.1358,-151.764,BP48cd,US-AK,2,1,21,0,0
US-0027,Gettysburg National Military Park,39.8107,-77.2245,FM19jt,US-PA,481,462,13209,0,1
US-0028,Glacier National Park,48.773,-113.725,DN38ds,US-MT,236,207,6162,0,0
US-0029,Glacier Bay National Preserve,59.1288,-138.577,CO09rd,US-AK,6,4,86,0,0
US-0030,Grand Canyon National Park,36.1044,-112.003,DM36xc,US-AZ,427,376,13330,0,3
US-0031,Grand Teton National Park,43.7935,-110.632,DN43qt,US-WY,316,280,10320,1,1
US-0032,Great Basin National Park,39.0056,-114.219,DM29va,US-NV,97,81,2701,0,0
US-0033,Great Sand Dunes National Park,37.7942,-105.581,DM77ft,US-CO,99,94,3144,0,0
US-0034,Great Smoky Mountains National Park,35.6154,-83.4462,EM85go,"US-NC,US-TN",1505,1363,48533,0,0
US-0035,Guadalupe Mountains National Park,31.9475,-104.861,DM71nw,US-TX,114,108,3266,0,0
US-0036,Haleakala National Park,20.6618,-156.045,BL10xp,US-HI,47,36,1070,0,0
US-0037,Hawai'i Volcanoes National Park,19.4309,-155.257,BK29ik,US-HI,86,72,2442,0,0
US-0038,Hot Springs National Park,34.522,-93.0363,EM34lm,US-AR,235,214,7322,0,0
US-0039,Isle Royale National Park,47.9988,-88.8659,EN57nx,US-MI,43,39,1896,0,0
US-0040,Jean Lafitte National Historical Park,29.8116,-90.1413,EL49wt,US-LA,153,146,7807,0,0
US-0041,Joshua Tree National Park,33.7548,-115.824,DM23cs,US-CA,462,394,14027,0,3
US-0042,Fort Gaines National Historic Site,30.2483,-88.0756,EM50xf,US-AL,196,183,6479,0,1
US-0043,Kalaupapa National Historical Park,21.1879,-156.98,BL11me,US-HI,7,6,439,0,0
US-0044,Katmai National Park,58.5572,-155.778,BO28cn,US-AK,4,2,52,0,0
US-0045,Kenai Fjords National Park,60.1829,-149.687,BP50de,US-AK,23,17,379,0,0
US-0046,Kings Canyon National Park,36.7899,-118.67,DM06ps,US-CA,101,86,2394,0,0
US-0047,Kobuk Valley National Park,67.0807,-159.791,BP07cb,US-AK,0,0,0,0,0
US-0048,Lake Clark National Park,60.6626,-154.049,BP20xp,US-AK,2,1,39,0,0
US-0049,Lassen Volcanic National Park,40.4352,-121.534,CN90fk,US-CA,104,81,2055,0,0
US-0050,Mammoth Cave National Park,37.1877,-86.1012,EM67we,US-KY,573,547,25846,0,0
US-0051,Mesa Verde National Park,37.1839,-108.491,DM57se,US-CO,176,147,4517,0,0
US-0052,Mount Rainier National Park,46.8826,-121.705,CN96dv,US-WA,143,106,2481,0,0
US-0054,Nez Perce National Historical Park,46.447,-116.824,DN16ok,"US-ID,US-MT,US-OR,US-WA",78,75,2162,0,0
US-0055,North Cascades National Park,48.7758,-121.256,CN98is,US-WA,40,32,623,0,0
US-0056,Olympic National Park,48.0468,-123.418,CN88gb,US-WA,245,197,4889,0,0
US-0057,Petrified Forest National Park,35.0659,-109.779,DM55cb,US-AZ,133,120,4043,0,0
US-0058,Redwood National Park,41.7978,-124.083,CN71xt,US-CA,111,78,2223,0,0
US-0059,Rocky Mountain National Park,40.3535,-105.649,DN70ei,US-CO,391,351,10778,0,0
US-0060,Saguaro National Park,32.3048,-111.131,DM42kh,US-AZ,557,527,24825,0,2
US-0061,San Juan Island American Camp National Historical Park,48.4663,-123.017,CN88ll,US-WA,35,25,593,0,0
US-0062,Saratoga National Historical Park,43.0028,-73.6467,FN33ea,US-NY,52,46,1409,0,0
US-0063,Sequoia National Park,36.6036,-118.732,DM06po,US-CA,194,102,3558,0,0
US-0064,Shenandoah National Park,38.9068,-78.1988,FM08vv,US-VA,1361,1261,43428,0,3
US-0065,Theodore Roosevelt National Park,46.9166,-103.528,DN86fv,US-ND,164,152,4921,0,0
US-0067,Voyageurs National Park,48.4443,-93.0303,EN38lk,US-MN,168,154,4664,0,0
US-0068,Wind Cave National Park,43.6062,-103.432,DN83go,US-SD,99,93,2805,2,0
US-0069,Wrangell-St. Elias National Park,61.5124,-142.835,BP81nm,US-AK,45,38,1065,0,0
US-0070,Yellowstone National Park,44.4281,-110.587,DN44qk,"US-ID,US-MT,US-WY",570,516,16634,0,0
US-0071,Yosemite National Park,37.7477,-119.585,DM07er,US-CA,204,169,4638,0,0
US-0072,Zion National Park,37.3021,-113.006,DM37lh,US-UT,214,168,6038,0,0
US-0117,Hakalau Forest National Wildlife Refuge,19.793,-155.321,BK29it,US-HI,0,0,0,0,0
US-0118,Hanalei National Wildlife Refuge,22.2012,-159.468,BL02ge,US-HI,32,30,927,0,0
US-0119,Hawaiian Islands National Wildlife Refuge,28.2247,-177.355,AL18hf,US-HI,3,2,42,0,0
US-0120,Ginkgo Petrified Forest State Park,46.9008,-119.989,DN06av,US-WA,86,77,1896,0,0
US-0121,Kure Atoll State Wildlife Area,28.4168,-178.332,AL08uk,US-KI,0,0,0,0,0
US-0123,Huleia National Wildlife Refuge,21.9464,-159.384,BL01hw,US-HI,2,2,23,0,0
US-0124,James Campbell National Wildlife Refuge,21.6882,-157.952,BL11aq,US-HI,3,3,49,0,0
US-0125,Kakahaia National Wildlife Refuge,21.0642,-156.941,BL11mb,US-HI,2,2,26,0,0
US-0126,Kealia Pond National Wildlife Refuge,20.7922,-156.468,BL10st,US-HI,41,35,986,0,0
US-0127,Kilauea Point National Wildlife Refuge,22.2317,-159.402,BL02hf,US-HI,10,9,197,0,0
US-0128,O'ahu Forest National Wildlife Refuge,21.479,-157.923,BL11al,US-HI,0,0,0,0,0
US-0129,Pearl Harbor National Wildlife Refuge,21.3011,-158.087,BL01wh,US-HI,19,18,1133,0,0
US-0136,Bon Secour National Wildlife Refuge,30.2415,-87.8249,EM60cf,US-AL,109,102,2624,0,0
US-0137,Cahaba River National Wildlife Refuge,33.0614,-87.0678,EM63lb,US-AL,39,39,1544,0,0
US-0138,Choctaw National Wildlife Refuge,31.8151,-88.1922,EM51vt,US-AL,14,14,390,0,0
US-0139,Eufaula National Wildlife Refuge,31.9959,-85.0948,EM71kx,"US-AL,US-GA",80,79,2579,0,0
US-0140,Fern Cave National Wildlife Refuge,34.6737,-86.3134,EM64uq,US-AL,33,31,1036,0,0
US-0141,Key Cave National Wildlife Refuge,34.7569,-87.7881,EM64cs,US-AL,89,89,3974,0,1
US-0142,Arctic National Wildlife Refuge,68.445,-149.326,BP58ik,US-AK,2,1,16,0,0
US-0143,Alaska Maritime National Wildlife Refuge,51.8677,-176.667,AO11pu,US-AK,45,40,30317,0,0
US-0144,Alaska Peninsula National Wildlife Refuge,55.025,-162.23,AO85va,US-AK,7,7,237,0,0
US-0145,Becharof National Wildlife Refuge,58.0988,-156.611,BO18qc,US-AK,0,0,0,0,0
US-0146,Innoko National Wildlife Refuge,63.5427,-158.203,BP03vn,US-AK,1,0,2,0,0
US-0147,Izembek National Wildlife Refuge,55.2927,-162.672,AO85ph,US-AK,7,6,186,0,0
US-0148,Kanuti National Wildlife Refuge,66.8835,-151.494,BP46gv,US-AK,0,0,0,0,0
US-0149,Kenai National Wildlife Refuge,60.5179,-150.555,BP40rm,US-AK,33,28,835,0,0
US-0150,Kodiak National Wildlife Refuge,57.7412,-152.52,BO37rr,US-AK,0,0,0,0,0
US-0151,Koyukuk National Wildlife Refuge,65.693,-156.388,BP15tq,US-AK,0,0,0,0,0
US-0152,Nowitna National Wildlife Refuge,64.6535,-153.932,BP34ap,US-AK,0,0,0,0,0
US-0153,Selawik National Wildlife Refuge,66.6633,-159.066,BP06lp,US-AK,0,0,0,0,0
US-0154,Tetlin National Wildlife Refuge,62.6854,-141.126,BP92kq,US-AK,6,6,226,0,0
US-0155,Togiak National Wildlife Refuge,59.0518,-158.579,BO09rb,US-AK,0,0,0,0,0
US-0156,Yukon Delta National Wildlife Refuge,61.935,-162.899,AP81nw,US-AK,14,7,238,0,0
US-0157,Yukon Flats National Wildlife Refuge,66.0144,-149.06,BP56la,US-AK,0,0,0,0,0
US-0158,Mountain Longleaf National Wildlife Refuge,33.7119,-85.7381,EM73dr,US-AL,120,117,6441,0,1
US-0159,Sauta Cave National Wildlife Refuge,34.6121,-86.1354,EM64wo,US-AL,68,65,1645,0,0
US-0160,Watercress Darter National Wildlife Refuge,33.3751,-86.9649,EM63mj,US-AL,34,33,1054,0,0
US-0161,Wheeler National Wildlife Refuge,34.5572,-86.9531,EM64mn,US-AL,1088,1071,58476,0,2
US-0162,Bald Knob National Wildlife Refuge,35.2377,-91.5715,EM45ff,US-AR,28,28,861,0,0
US-0163,Big Lake National Wildlife Refuge,35.9135,-90.1198,EM45wv,US-AR,33,31,938,0,0
US-0164,Cache River National Wildlife Refuge,35.0606,-91.319,EM45ib,US-AR,24,24,655,0,0
US-0165,Felsenthal National Wildlife Refuge,33.1494,-92.0626,EM33xd,US-AR,35,30,844,0,0
US-0166,Holla Bend National Wildlife Refuge,35.1432,-93.0698,EM35ld,US-AR,26,23,548,0,0
US-0168,Overflow National Wildlife Refuge,33.0791,-91.6685,EM43db,US-AR,13,12,308,0,0
US-0169,Pond Creek National Wildlife Refuge,33.8004,-94.1477,EM23wt,US-AR,24,24,642,0,0
US-0170,Wapanocca National Wildlife Refuge,35.3437,-90.2149,EM45vi,US-AR,66,64,1623,0,0
US-0171,White River National Wildlife Refuge,34.3575,-91.1211,EM44ki,US-AR,19,18,610,0,0
US-0172,Bill Williams River National Wildlife Refuge,34.2727,-114.048,DM24xg,US-AZ,46,43,1276,0,0
US-0173,Buenos Aires National Wildlife Refuge,31.5718,-111.508,DM41fn,US-AZ,90,87,8326,0,0
US-0174,Cabeza Prieta National Wildlife Refuge,32.1864,-113.289,DM32ie,US-AZ,25,24,1214,0,0
US-0175,Cibola National Wildlife Refuge,33.3635,-114.672,DM23pi,"US-AZ,US-CA",53,48,1779,0,0
US-0176,Imperial National Wildlife Refuge,32.9984,-114.486,DM22sx,US-AZ,45,45,2228,0,0
US-0177,Kofa National Wildlife Refuge,33.5351,-114.164,DM23wm,US-AZ,457,430,18955,0,1
US-0178,Leslie Canyon National Wildlife Refuge,31.5791,-109.504,DM51fn,US-AZ,24,24,770,0,0
US-0179,San Bernardino National Wildlife Refuge,31.3415,-109.251,DM51ii,US-AZ,15,15,472,0,0
US-0180,Twin Lights State Historic Site,40.3962,-73.986,FN30aj,US-NJ,118,111,3928,0,2
US-0181,Bitter Creek National Wildlife Refuge,34.9589,-119.443,DM04gx,US-CA,8,8,558,0,0
US-0183,Penrose Commons National Recreation Area,38.4778,-105.034,DM78ll,US-CO,92,92,3583,0,0
US-0184,Ramah State Wildlife Area,39.0883,-104.217,DM79vc,US-CO,94,93,7049,0,0
US-0185,Hugo State Wildlife Area,38.8938,-103.378,DM88hv,US-CO,25,25,936,0,0
US-0187,Colusa National Wildlife Refuge,39.1966,-122.039,CM89xe,US-CA,44,41,979,0,0
US-0188,Kinney Lake State Wildlife Area,38.9648,-103.443,DM88gx,US-CO,24,24,1024,0,0
US-0189,Don Edwards San Francisco Bay National Wildlife Refuge,37.5299,-122.064,CM87xm,US-CA,1036,963,39447,0,1
US-0190,Flagler Reservoir State Wildlife Area,39.278,-102.982,DM89mg,US-CO,44,40,1554,0,0
US-0191,Brush Hollow State Wildlife Area,38.4419,-105.014,DM78lk,US-CO,190,151,6834,0,0
US-0192,Beaver Creek State Wildlife Area,38.5376,-105.023,DM78lm,US-CO,36,36,1217,0,0
US-0193,Guadalupe-Nipomo Dunes National Wildlife Refuge,34.9725,-120.572,CM94rx,US-CA,11,10,289,0,0
US-0194,Havasu National Wildlife Refuge,34.6668,-114.441,DM24sq,"US-AZ,US-CA",70,65,2382,0,0
US-0195,Ogden-Treat State Wildlife Area,38.3999,-105.767,DM78cj,US-CO,19,19,700,0,0
US-0196,Humboldt Bay National Wildlife Refuge,40.7195,-124.218,CN70vr,US-CA,17,16,277,0,0
US-0197,Kern National Wild and Scenic River,35.7962,-118.45,DM05st,US-CA,20,18,974,0,0
US-0198,Kesterson National Wildlife Refuge,37.1519,-120.819,CM97od,US-CA,29,29,1203,0,0
US-0199,Lower Klamath National Wildlife Refuge,41.9486,-121.711,CN91dw,"US-CA,US-OR",21,17,420,0,0
US-0200,Sarah Helmick State Recreation Area,44.7818,-123.237,CN84js,US-OR,151,134,4076,0,0
US-0201,Merced National Wild and Scenic River,37.605,-119.967,DM07ao,US-CA,17,14,341,0,0
US-0202,Modoc National Wildlife Refuge,41.4717,-120.546,CN91rl,US-CA,8,8,154,0,0
US-0203,North Central Valley Wildlife Management Area,39.4287,-122.192,CM89vk,US-CA,3,3,87,0,0
US-0204,Pixley National Wildlife Refuge,35.906,-119.376,DM05hv,US-CA,76,72,2896,0,0
US-0205,Sacramento National Wildlife Refuge,39.4287,-122.192,CM89vk,US-CA,39,34,740,0,0
US-0206,Sacramento River National Wildlife Refuge,39.439,-122.011,CM89xk,US-CA,46,43,1161,0,0
US-0207,Salinas River National Wildlife Refuge,36.7346,-121.794,CM96cr,US-CA,34,33,1005,0,0
US-0208,San Diego National Wildlife Refuge,32.6843,-116.846,DM12nq,US-CA,58,54,1597,0,0
US-0209,San Diego Bay National Wildlife Refuge,32.6412,-117.11,DM12kp,US-CA,73,70,1823,0,0
US-0210,San Joaquin River National Wildlife Refuge,37.6126,-121.221,CM97jo,US-CA,106,99,3209,0,0
US-0211,San Luis National Wildlife Refuge,37.1519,-120.819,CM97od,US-CA,60,59,2320,0,0
US-0212,San Pablo Bay National Wildlife Refuge,38.1407,-122.465,CM88sd,US-CA,173,162,7429,0,0
US-0213,Maud Williamson State Recreation Area,45.0959,-123.069,CN85lc,US-OR,262,244,6992,0,0
US-0214,Sonny Bono Salton Sea National Wildlife Refuge,33.1775,-115.615,DM23ee,US-CA,55,52,1319,0,0
US-0215,Stone Lakes National Wildlife Refuge,38.371,-121.495,CM98gi,US-CA,106,97,4179,0,0
US-0217,Tijuana Slough National Wildlife Refuge,32.5756,-117.127,DM12kn,US-CA,61,55,1268,0,0
US-0218,Tule Lake National Wildlife Refuge,41.9468,-121.565,CN91fw,US-CA,13,13,459,0,0
US-0219,H.B. VanDuzer Scenic Corridor State Forest,45.0387,-123.809,CN85ca,US-OR,24,21,423,0,0
US-0220,Alamosa National Wildlife Refuge,37.4294,-105.77,DM77ck,US-CO,47,47,1668,0,0
US-0221,Arapaho National Wildlife Refuge,40.6177,-106.276,DN60uo,US-CO,19,18,859,0,0
US-0222,Baca National Wildlife Refuge,37.8615,-105.775,DM77cu,US-CO,19,19,628,0,0
US-0223,Browns Park National Wildlife Refuge,40.8128,-108.956,DN50mt,US-CO,7,7,361,0,0
US-0224,Monte Vista National Wildlife Refuge,37.4881,-106.098,DM67wl,US-CO,43,42,1190,0,0
US-0225,Rocky Flats National Wildlife Refuge,39.8773,-105.19,DM79jv,US-CO,534,515,25142,0,0
US-0226,Rocky Mountain Arsenal National Wildlife Refuge,39.8367,-104.837,DM79nu,US-CO,507,480,20491,0,0
US-0227,Two Ponds National Wildlife Refuge,39.8389,-105.106,DM79ku,US-CO,331,314,14517,0,0
US-0228,Stewart B. Mckinney National Wildlife Refuge,41.2861,-72.4716,FN31sg,US-CT,134,131,6033,0,0
US-0229,Bombay Hook National Wildlife Refuge,39.2531,-75.4514,FM29gg,US-DE,84,83,3007,0,0
US-0230,Prime Hook National Wildlife Refuge,38.861,-75.2651,FM28iu,US-DE,74,73,3872,0,0
US-0231,Archie Carr National Wildlife Refuge,27.8759,-80.456,EL97sv,US-FL,296,293,15784,0,2
US-0232,Arthur R. Marshall Loxahatchee National Wildlife Refuge,26.4992,-80.2117,EL96vl,US-FL,339,312,11967,0,3
US-0234,Cedar Keys National Wildlife Refuge,29.126,-83.0319,EL89ld,US-FL,17,16,1016,0,0
US-0235,Chassahowitzka National Wildlife Refuge,28.7725,-82.6269,EL88qs,US-FL,55,55,1687,0,0
US-0236,Crocodile Lake National Wildlife Refuge,25.1917,-80.3566,EL95te,US-FL,59,58,1653,0,0
US-0237,Crystal River National Wildlife Refuge,28.8843,-82.5922,EL88qv,US-FL,60,58,1306,0,0
US-0238,Egmont Key National Wildlife Refuge,27.5969,-82.7597,EL87oo,US-FL,39,39,1998,0,1
US-0239,Florida Panther National Wildlife Refuge,26.1628,-81.3455,EL96hd,US-FL,139,137,4150,0,0
US-0240,Great White Heron National Wildlife Refuge,24.5984,-81.5836,EL94eo,US-FL,38,38,1360,0,0
US-0241,Hobe Sound National Wildlife Refuge,27.0369,-80.1119,EL97wa,US-FL,191,189,8065,0,0
US-0243,J.N. Ding Darling National Wildlife Refuge,26.4451,-82.113,EL86wk,US-FL,148,143,7342,0,0
US-0244,Key West National Wildlife Refuge,24.5716,-81.9749,EL94an,US-FL,34,33,1400,0,0
US-0245,Lake Wales Ridge Wildlife Management Area,27.5312,-81.4056,EL97hm,US-FL,112,112,6116,0,0
US-0246,Lake Woodruff National Wildlife Refuge,29.1068,-81.371,EL99hc,US-FL,75,75,1828,0,0
US-0247,Lower Suwannee National Wildlife Refuge,29.374,-83.0377,EL89li,US-FL,37,36,1156,0,0
US-0249,Merritt Island National Wildlife Refuge,28.642,-80.7361,EL98pp,US-FL,1032,509,32177,0,0
US-0250,National Key Deer National Wildlife Refuge,24.7324,-81.3928,EL94hr,US-FL,61,58,2040,0,0
US-0252,Pelican Island National Wildlife Refuge,27.8106,-80.4253,EL97st,US-FL,164,164,6307,0,0
US-0256,St. Marks National Wildlife Refuge,30.1515,-84.1472,EM70wd,US-FL,82,82,2991,0,0
US-0257,St. Vincent National Wildlife Refuge,29.6592,-85.1318,EL79kp,US-FL,37,36,1079,0,0
US-0258,Ten Thousand Islands National Wildlife Refuge,25.9742,-81.5544,EL95fx,US-FL,441,437,18896,0,1
US-0259,Banks Lake National Wildlife Refuge,31.0351,-83.0956,EM81ka,US-GA,67,63,2789,0,0
US-0260,Blackbeard Island National Wildlife Refuge,31.5187,-81.1962,EM91jm,US-GA,9,9,572,0,0
US-0261,Bond Swamp National Wildlife Refuge,32.7394,-83.5628,EM82fr,US-GA,78,78,3806,0,1
US-0262,Harris Neck National Wildlife Refuge,31.6312,-81.2678,EM91ip,US-GA,81,79,3515,0,0
US-0263,Okefenokee National Wildlife Refuge,30.7383,-82.14,EM80wr,US-GA,75,75,2582,0,0
US-0264,Piedmont National Wildlife Refuge,33.111,-83.679,EM83dc,US-GA,64,63,2584,0,0
US-0265,Pinckney Island National Wildlife Refuge,32.2298,-80.7848,EM92of,US-SC,205,198,8147,0,0
US-0266,Wassaw National Wildlife Refuge,31.8945,-80.9922,EM91mv,US-GA,18,18,758,0,0
US-0267,Wolf Island National Wildlife Refuge,31.3501,-81.301,EM91ii,US-GA,7,7,384,0,0
US-0268,Desoto National Wildlife Refuge,41.5484,-96.0273,EN11xn,US-IA,22,22,642,0,0
US-0269,Driftless Area National Wildlife Refuge,42.8394,-91.3722,EN42hu,US-IA,32,30,1613,0,0
US-0270,Iowa Wetland Management District,43.2986,-94.1184,EN23wh,US-IA,52,52,2285,0,0
US-0271,Neal Smith National Wildlife Refuge,41.5585,-93.2801,EN31in,US-IA,82,77,2504,0,0
US-0272,Port Louisa National Wildlife Refuge,41.2138,-91.1282,EN41kf,"US-IA,US-IL",21,19,490,0,0
US-0273,Union Slough National Wildlife Refuge,43.2838,-94.1103,EN23wg,US-IA,10,10,297,0,0
US-0274,Bear Lake National Wildlife Refuge,42.174,-111.32,DN42ie,US-ID,19,17,431,0,0
US-0275,Camas National Wildlife Refuge,43.9418,-112.266,DN33uw,US-ID,15,15,339,0,0
US-0276,Deer Flat National Wildlife Refuge,43.5609,-116.666,DN13qn,US-ID,281,258,10650,0,0
US-0277,Grays Lake National Wildlife Refuge,43.01,-111.39,DN43ha,US-ID,4,4,53,0,0
US-0278,Kootenai National Wildlife Refuge,48.7163,-116.405,DN18tr,US-ID,23,20,778,0,0
US-0279,Minidoka National Wildlife Refuge,42.6679,-113.387,DN32hq,US-ID,84,81,3429,0,0
US-0280,Oxford Slough Wetland Management District,42.2358,-111.993,DN42af,US-ID,12,12,405,0,0
US-0281,Chautauqua National Wildlife Refuge,40.3853,-89.9761,EN50aj,US-IL,59,58,1717,0,0
US-0282,Crab Orchard National Wildlife Refuge,37.7198,-89.0208,EM57lr,US-IL,79,76,2014,0,0
US-0283,Cypress Creek National Wildlife Refuge,37.2801,-89.0953,EM57kg,US-IL,37,28,1128,0,0
US-0284,Emiquon National Wildlife Refuge,40.3242,-90.0975,EN40wh,US-IL,61,57,2567,0,0
US-0285,Meredosia National Wildlife Refuge,39.8719,-90.5678,EM49ru,US-IL,255,245,25965,0,5
US-0286,Middle Mississippi River National Wildlife Refuge,37.8531,-89.7263,EM57du,US-IL,23,23,591,0,0
US-0287,Two Rivers National Wildlife Refuge,38.9374,-90.5422,EM48rw,US-IL,68,68,2450,0,0
US-0288,Big Oaks National Wildlife Refuge,38.9605,-85.4165,EM78hx,US-IN,42,40,1680,0,0
US-0289,Muscatatuck National Wildlife Refuge,38.9284,-85.812,EM78cw,US-IN,84,83,2340,0,0
US-0290,Patoka River National Wildlife Refuge,38.3394,-87.1268,EM68ki,US-IN,36,36,1246,0,0
US-0291,Flint Hills National Wildlife Refuge,38.3123,-95.9642,EM28ah,US-KS,30,28,1097,0,0
US-0292,Kirwin National Wildlife Refuge,39.6657,-99.1743,EM09jp,US-KS,9,8,227,0,0
US-0293,Marais Des Cygnes National Wildlife Refuge,38.2567,-94.6568,EM28qg,US-KS,49,49,1583,0,0
US-0294,Quivira National Wildlife Refuge,38.0748,-98.489,EM08sb,US-KS,25,24,830,0,1
US-0295,Clarks River National Wildlife Refuge,36.978,-88.5582,EM56rx,US-KY,82,80,3089,0,0
US-0296,Atchafalaya National Wildlife Refuge,30.4833,-91.7333,EM40dl,US-LA,88,86,3702,0,0
US-0297,Bayou Cocodrie National Wildlife Refuge,31.5747,-91.6004,EM41en,US-LA,19,19,443,0,0
US-0298,Bayou Sauvage National Wildlife Refuge,30.0914,-89.8668,EM50bc,US-LA,89,86,3430,0,0
US-0299,Bayou Teche National Wildlife Refuge,29.7853,-91.4637,EL49gs,US-LA,61,59,3215,0,0
US-0300,Big Branch Marsh National Wildlife Refuge,30.323,-89.9366,EM50ah,US-LA,265,260,11823,0,0
US-0301,Black Bayou Lake National Wildlife Refuge,32.6052,-92.0507,EM32xo,US-LA,96,80,2858,0,0
US-0302,Bogue Chitto National Wildlife Refuge,30.4559,-89.7802,EM50ck,US-LA,78,74,3484,0,0
US-0303,Breton National Wildlife Refuge,29.7848,-88.871,EL59ns,US-LA,1,1,11,0,0
US-0304,Cameron Prairie National Wildlife Refuge,29.9506,-93.076,EL39lw,US-LA,42,41,3664,0,0
US-0305,Cat Island National Wildlife Refuge,30.794,-91.4382,EM40gt,US-LA,18,18,517,0,0
US-0306,Catahoula National Wildlife Refuge,31.6236,-91.9678,EM41ao,US-LA,26,26,1439,0,0
US-0307,D'Arbonne National Wildlife Refuge,32.6426,-92.1943,EM32vp,US-LA,157,155,5789,0,0
US-0308,Delta National Wildlife Refuge,29.2507,-89.1926,EL59jg,US-LA,1,1,60,0,0
US-0309,Grand Cote National Wildlife Refuge,31.104,-92.1404,EM31wc,US-LA,19,18,796,0,0
US-0311,Lacassine National Wildlife Refuge,30.0042,-92.7828,EM30oa,US-LA,56,56,5720,0,0
US-0312,Lake Ophelia National Wildlife Refuge,31.1929,-91.8305,EM41ce,US-LA,5,5,100,0,0
US-0314,Mandalay National Wildlife Refuge,29.5599,-90.7788,EL49on,US-LA,60,58,4039,0,1
US-0315,Red River National Wildlife Refuge,32.4481,-93.673,EM32dk,US-LA,167,165,5670,0,0
US-0316,Sabine National Wildlife Refuge,29.9039,-93.5609,EL39fv,US-LA,33,32,1650,0,0
US-0318,Tensas River National Wildlife Refuge,32.3264,-91.377,EM42hh,US-LA,14,14,511,0,0
US-0319,Upper Ouachita National Wildlife Refuge,32.8902,-92.0862,EM32wv,US-LA,9,9,296,0,0
US-0320,Assabet River National Wildlife Refuge,42.4078,-71.4709,FN42gj,US-MA,101,92,4321,0,0
US-0321,Great Meadows National Wildlife Refuge,42.4013,-71.3725,FN42hj,US-MA,112,111,5054,0,1
US-0322,Mashpee National Wildlife Refuge,41.6022,-70.5111,FN41ro,US-MA,48,48,1138,0,0
US-0324,Monomoy National Wildlife Refuge,41.6572,-69.9593,FN51ap,US-MA,75,73,2080,0,0
US-0325,Nantucket National Wildlife Refuge,41.3901,-70.0491,FN41xj,US-MA,4,4,104,0,0
US-0327,Oxbow National Wildlife Refuge,42.5161,-71.6223,FN42em,US-MA,116,107,3619,0,0
US-0328,Parker River National Wildlife Refuge,42.7488,-70.8054,FN42or,US-MA,68,58,2917,0,0
US-0329,Silvio O Conte National Wildlife Refuge,44.7678,-71.7018,FN44ds,"US-CT,US-MA,US-NH,US-VT",277,272,10568,0,2
US-0330,Thatcher Island National Wildlife Refuge,42.6395,-70.5741,FN42rp,US-MA,3,3,109,0,0
US-0331,Blackwater National Wildlife Refuge,38.4454,-76.1194,FM18wk,US-MD,72,69,2605,0,0
US-0332,Eastern Neck National Wildlife Refuge,39.0311,-76.2248,FM19va,US-MD,23,22,856,0,0
