reference,name,latitude,longitude,grid,locationDesc,attempts,activations,qsos,my_activations,my_hunted_qsos
US-10944,Twin Buttes BLM WSA Wilderness Area,41.1964,-109.697,DN51de,US-WY,2,2,76,0,0
US-10945,Whitehorse Creek BLM WSA Wilderness Area,42.2747,-108.897,DN52ng,US-WY,0,0,0,0,0
US-10946,Crazy Woman Creek National Battlefield,44.0872,-106.523,DN64rc,US-WY,10,10,1255,0,0
US-10947,The Battle of Red Buttes National Battlefield,42.8334,-106.367,DN62tu,US-WY,13,13,449,0,0
US-10950,Cephas Ford Access State Conservation Area,37.9493,-94.3559,EM27tw,US-MO,27,27,580,0,0
US-10951,Cherokee Strip Regional Heritage Center Historic Site,36.3913,-97.8728,EM16bj,US-OK,128,127,3724,0,0
US-10952,Paugussett State Forest State Forest,41.4024,-73.1876,FN31jj,US-CT,34,33,1138,0,0
US-10953,McCoy Wildlife Management Area,41.989,-93.874,EN31bx,US-IA,48,48,3194,0,0
US-10954,Saint Stanislaus State Conservation Area,38.8128,-90.3934,EM48tt,US-MO,39,34,1202,0,0
US-10955,Old Plantation Access State Conservation Area,37.4729,-89.8486,EM57bl,US-MO,19,19,1351,0,0
US-10956,Maintz Wildlife Reserve,37.489,-89.7955,EM57cl,US-MO,16,16,1204,0,0
US-10957,Block Hole Access State Conservation Area,37.2132,-89.8422,EM57bf,US-MO,8,8,601,0,0
US-10958,Tywappity Community Lake State Conservation Area,37.1875,-89.6395,EM57ee,US-MO,17,15,695,0,0
US-10959,Sand Prairie State Conservation Area,37.0955,-89.5066,EM57fc,US-MO,16,16,443,0,0
US-10960,Fountain Green State Fish Hatchery,39.638,-111.668,DM49dp,US-UT,6,6,137,0,0
US-10961,Mattatuck State Forest State Forest,41.6096,-73.0735,FN31lo,US-CT,37,34,1322,0,0
US-10962,Babcock Pond WMA Wildlife Management Area,41.5487,-72.3952,FN31tn,US-CT,22,21,918,0,0
US-10963,Logan Aquatic Animal Health & Research Center State Fish Hatchery,41.7365,-111.87,DN41br,US-UT,5,4,59,0,0
US-10964,Cathedral Valley Scenic Backway BLM Special Recreation Management Area,38.338,-111.028,DM48li,US-UT,7,7,232,0,0
US-10965,Great Western Trail BLM Historic Trail,38.2514,-111.614,DM48eg,US-UT,6,5,82,0,0
US-10966,K-Hill Trail BLM Recreation Management Area,37.0506,-112.518,DM37rb,US-UT,8,7,180,0,0
US-10967,Birch Hollow BLM Recreation Management Area,37.3098,-112.856,DM37nh,US-UT,2,2,33,0,0
US-10968,"Buckskin, White House, Wire Pass Day Use BLM Recreation Management Area",37.0191,-112.025,DM37xa,US-UT,5,3,160,0,0
US-10969,Aurora Open OHV Area BLM Recreation Management Area,38.9178,-111.955,DM48aw,US-UT,8,8,162,0,0
US-10970,Laverkin Creek BLM Wild and Scenic River,37.3718,-113.189,DM37ji,US-UT,0,0,0,0,0
US-10971,Smith Creek BLM Wild and Scenic River,37.3697,-113.175,DM37ji,US-UT,0,0,0,0,0
US-10972,Beartrap Canyon BLM Wild and Scenic River,37.4309,-113.111,DM37kk,US-UT,0,0,0,0,0
US-10973,Middle Fork Taylor Creek BLM Wild and Scenic River,37.4543,-113.145,DM37kk,US-UT,0,0,0,0,0
US-10974,Deep Creek BLM Wild and Scenic River,37.3701,-112.949,DM37mi,US-UT,0,0,0,0,0
US-10975,Oak Creek BLM Wild and Scenic River,37.3985,-112.993,DM37mj,US-UT,0,0,0,0,0
US-10976,Kolob Creek BLM Wild and Scenic River,37.371,-112.971,DM37mi,US-UT,1,1,114,0,0
US-10977,Bull Creek Pass Backcountry Byway BLM Recreation Management Area,38.0972,-110.622,DM48qc,US-UT,2,2,55,0,0
US-10979,Portal Trail BLM Recreation Management Area,38.5565,-109.59,DM58en,US-UT,1,1,22,0,0
US-10980,Scott's Basin WSA BLM Wilderness Area,39.8836,-113.862,DM39bv,US-UT,0,0,0,0,0
US-10981,Grouse Creek Mountains Desingated Routes BLM Recreation Management Area,41.6616,-113.742,DN31dp,US-UT,3,2,40,0,0
US-10982,White Rock Range WSA BLM Wilderness Area,38.1962,-114.038,DM28xe,US-UT,0,0,0,0,0
US-10983,Notch Peak WSA BLM Wilderness Area,39.1433,-113.409,DM39hd,US-UT,1,1,18,0,0
US-10984,Hideout Canyon Camping Area BLM Recreation Management Area,38.6909,-109.191,DM58jq,US-UT,1,1,49,0,0
US-10985,North Stansbury Mountains WSA BLM Wilderness Area,40.6578,-112.626,DN30qp,US-UT,3,3,67,0,0
US-10986,Wahweap WSA BLM Wilderness Area,37.2434,-111.746,DM47df,US-UT,0,0,0,0,0
US-10987,Fossil Mountain WSA BLM Wilderness Area,38.876,-113.469,DM38gv,US-UT,1,1,16,0,0
US-10988,Peek-A-Boo Staging Area BLM Recreation Management Area,37.1545,-112.574,DM37rd,US-UT,20,19,518,0,0
US-10989,Hog Springs BLM Recreation Management Area,37.9607,-110.491,DM47sx,US-UT,2,1,17,0,0
US-10990,Topaz Mountain BLM Special Recreation Management Area,39.6663,-113.125,DM39kp,US-UT,3,3,90,0,0
US-10991,Mud Spring Canyon WSA BLM Wilderness Area,37.5664,-111.879,DM47bn,US-UT,0,0,0,0,0
US-10992,North Wash BLM Recreation Management Area,38.0164,-110.533,DM48ra,US-UT,3,2,51,0,0
US-10993,Deep Creek Mountains BLM Recreation Management Area,39.8478,-113.905,DM39bu,US-UT,1,1,22,0,0
US-10994,Flume Canyon WSA BLM Wilderness Area,39.2616,-109.403,DM59hg,US-UT,1,1,118,0,0
US-10995,Sunshine Loop and Dutchman Mountain Bike Trails BLM Recreation Management Area,36.9998,-113.47,DM36gx,US-AZ,15,15,547,0,0
US-10996,Escalante Canyon WSA BLM Wilderness Area,37.7156,-111.104,DM47kr,US-UT,2,0,15,0,0
US-10997,North Fork Virgin River Merriam's Turkey Viewing Area BLM Recreation Management Area,37.3853,-112.839,DM37nj,US-UT,0,0,0,0,0
US-10999,Cottonwood Wash BLM Recreation Management Area,38.1659,-111.089,DM48kd,US-UT,3,3,83,0,0
US-11000,Desert Experimental Range Biosphere Reserve,38.58,-113.807,DM38cn,US-UT,2,2,32,0,0
US-11001,Gooseberry Mesa National Recreation Trail,37.1444,-113.177,DM37jd,US-UT,3,3,100,0,0
US-11002,Otter Creek Reservoir BLM Special Recreation Management Area,38.3256,-111.95,DM48ah,US-UT,3,3,102,0,0
US-11003,Glenwood Open OHV Area BLM Recreation Management Area,38.7859,-111.965,DM48as,US-UT,7,6,154,0,0
US-11004,Hurricane Cliffs Trail System BLM Recreation Management Area,37.1955,-113.238,DM37je,US-UT,11,11,395,0,0
US-11005,Wire Mesa Trail BLM Recreation Management Area,37.1329,-113.071,DM37ld,US-UT,9,9,368,0,0
US-11006,Hogup Mountains Designated Routes BLM Recreation Management Area,41.4636,-113.137,DN31kl,US-UT,2,2,66,0,0
US-11007,White River BLM Recreation Management Area,40.0103,-109.445,DN50ga,US-UT,4,4,331,0,0
US-11008,Devil's Playground Desigated Routes BLM Recreation Management Area,41.5325,-113.688,DN31dm,US-UT,2,2,56,0,0
US-11009,South Caineville Mesa Trail BLM Recreation Management Area,38.3384,-110.982,DM48mi,US-UT,0,0,0,0,0
US-11010,Crystal Peak Rockhounding Area BLM Special Recreation Management Area,38.7917,-113.599,DM38et,US-UT,2,2,26,0,0
US-11011,Flying Monkey Trail BLM Recreation Management Area,37.2402,-113.185,DM37jf,US-UT,5,5,292,0,0
US-11012,Mt. Hillers BLM Recreation Management Area,37.8909,-110.687,DM47pv,US-UT,1,1,14,0,0
US-11013,Bishop Swamp WMA Wildlife Management Area,41.7239,-72.4021,FN31tr,US-CT,23,23,752,0,0
US-11014,David Dill/Taconite and Taconite State Trails State Trail,47.6689,-93.0315,EN37lq,US-MN,12,12,299,0,0
US-11015,Harry S Truman Home National Historical Site,39.0938,-94.4236,EM29sc,US-MO,64,61,1542,0,0
US-11017,Little Picacho Wilderness Area,32.9082,-114.522,DM22rv,US-CA,27,24,804,0,0
US-11018,Osage National Heritage State Trail,36.6805,-97.001,EM16lq,US-OK,53,52,2105,0,0
US-11019,Shining Rock Wilderness Area,35.3529,-82.8396,EM85ni,US-NC,36,36,1135,0,0
US-11020,Middle Prong Wilderness Area,35.3392,-82.9373,EM85mi,US-NC,48,46,2187,0,0
US-11021,Diamond Grove Prairie State Conservation Area,37.0065,-94.3501,EM27ta,US-MO,31,31,1479,0,0
US-11022,Otter Tail Prairie SNA State Conservation Area,46.1521,-96.2319,EN16vd,US-MN,44,43,2962,0,0
US-11023,Egret Island SNA State Conservation Area,46.0614,-95.8298,EN26cb,US-MN,5,5,240,0,0
US-11024,Blanket Flower Prairie SNA State Conservation Area,46.6886,-96.2159,EN16vq,US-MN,10,10,378,0,0
US-11025,Uchee Creek Conservation Area,32.349,-85.255,EM72ii,US-AL,13,13,307,0,0
